loan_status,Principal,terms,effective_date,due_date,age,education,Gender
PAIDOFF,1000,30,9/8/2016,10/7/2016,45,High School or Below,male
PAIDOFF,1000,30,9/8/2016,10/7/2016,33,Bechalor,female
PAIDOFF,1000,15,9/8/2016,9/22/2016,27,college,male
PAIDOFF,1000,30,9/9/2016,10/8/2016,28,college,female
PAIDOFF,1000,30,9/9/2016,10/8/2016,29,college,male
PAIDOFF,1000,30,9/9/2016,10/8/2016,36,college,male
PAIDOFF,1000,30,9/9/2016,10/8/2016,28,college,male
PAIDOFF,800,15,9/10/2016,9/24/2016,26,college,male
PAIDOFF,300,7,9/10/2016,9/16/2016,29,college,male
PAIDOFF,1000,15,9/10/2016,10/9/2016,39,High School or Below,male
PAIDOFF,1000,30,9/10/2016,10/9/2016,26,college,male
PAIDOFF,900,7,9/10/2016,9/16/2016,26,college,female
PAIDOFF,1000,7,9/10/2016,9/16/2016,27,High School or Below,male
PAIDOFF,800,15,9/10/2016,9/24/2016,26,college,male
PAIDOFF,1000,30,9/10/2016,10/9/2016,40,High School or Below,male
PAIDOFF,1000,15,9/10/2016,9/24/2016,32,High School or Below,male
PAIDOFF,1000,30,9/10/2016,10/9/2016,32,High School or Below,male
PAIDOFF,800,30,9/10/2016,10/9/2016,26,college,male
PAIDOFF,1000,30,9/10/2016,10/9/2016,26,college,male
PAIDOFF,1000,30,9/10/2016,10/9/2016,25,High School or Below,male
PAIDOFF,1000,15,9/10/2016,9/24/2016,26,college,male
PAIDOFF,1000,30,9/10/2016,10/9/2016,29,High School or Below,male
PAIDOFF,800,15,9/10/2016,9/24/2016,39,Bechalor,male
PAIDOFF,1000,15,9/10/2016,9/24/2016,34,Bechalor,male
PAIDOFF,1000,30,9/11/2016,10/10/2016,31,college,male
PAIDOFF,1000,30,9/11/2016,10/10/2016,33,college,male
PAIDOFF,800,15,9/11/2016,9/25/2016,33,High School or Below,male
PAIDOFF,1000,30,9/11/2016,10/10/2016,37,college,male
PAIDOFF,1000,30,9/11/2016,10/10/2016,27,college,male
PAIDOFF,1000,30,9/11/2016,10/10/2016,37,college,male
PAIDOFF,800,15,9/11/2016,9/25/2016,33,college,male
PAIDOFF,1000,30,9/11/2016,10/10/2016,27,High School or Below,male
PAIDOFF,1000,30,9/11/2016,10/10/2016,21,Bechalor,male
PAIDOFF,1000,15,9/11/2016,9/25/2016,32,college,female
PAIDOFF,800,15,9/11/2016,9/25/2016,30,college,male
PAIDOFF,1000,7,9/11/2016,9/24/2016,31,Bechalor,male
PAIDOFF,1000,15,9/11/2016,9/25/2016,30,college,male
PAIDOFF,1000,15,9/11/2016,9/25/2016,24,Bechalor,female
PAIDOFF,800,7,9/11/2016,9/17/2016,35,High School or Below,male
PAIDOFF,1000,30,9/11/2016,10/10/2016,22,High School or Below,male
PAIDOFF,1000,30,9/11/2016,10/10/2016,32,college,male
PAIDOFF,800,15,9/11/2016,9/25/2016,50,High School or Below,male
PAIDOFF,1000,30,9/11/2016,10/10/2016,35,Bechalor,female
PAIDOFF,800,15,9/11/2016,9/25/2016,35,Bechalor,female
PAIDOFF,1000,30,9/11/2016,10/10/2016,34,High School or Below,male
PAIDOFF,1000,30,9/11/2016,10/10/2016,21,High School or Below,male
PAIDOFF,1000,15,9/11/2016,9/25/2016,25,college,male
PAIDOFF,1000,30,9/11/2016,10/10/2016,27,High School or Below,male
PAIDOFF,1000,30,9/11/2016,10/10/2016,26,Bechalor,male
PAIDOFF,800,15,9/11/2016,9/25/2016,44,High School or Below,female
PAIDOFF,800,15,9/11/2016,9/25/2016,39,Master or Above,male
PAIDOFF,1000,30,9/11/2016,10/10/2016,34,Bechalor,male
PAIDOFF,1000,30,9/11/2016,10/10/2016,34,High School or Below,male
PAIDOFF,1000,30,9/11/2016,10/10/2016,45,college,male
PAIDOFF,900,15,9/11/2016,9/25/2016,28,college,male
PAIDOFF,1000,30,9/11/2016,10/10/2016,28,Bechalor,male
PAIDOFF,1000,30,9/11/2016,10/10/2016,37,High School or Below,male
PAIDOFF,1000,30,9/11/2016,10/10/2016,43,Bechalor,male
PAIDOFF,800,15,9/11/2016,9/25/2016,29,college,male
PAIDOFF,800,15,9/11/2016,9/25/2016,29,High School or Below,male
PAIDOFF,1000,30,9/11/2016,10/10/2016,33,Bechalor,female
PAIDOFF,1000,15,9/11/2016,9/25/2016,34,college,male
PAIDOFF,1000,15,9/11/2016,9/25/2016,25,college,male
PAIDOFF,1000,30,9/11/2016,10/10/2016,30,High School or Below,male
PAIDOFF,1000,30,9/11/2016,10/10/2016,35,college,male
PAIDOFF,1000,30,9/11/2016,10/10/2016,44,High School or Below,female
PAIDOFF,1000,30,9/11/2016,10/10/2016,28,High School or Below,male
PAIDOFF,1000,7,9/11/2016,9/17/2016,25,college,male
PAIDOFF,1000,15,9/11/2016,9/25/2016,29,college,male
PAIDOFF,800,15,9/11/2016,9/25/2016,33,college,male
PAIDOFF,1000,30,9/11/2016,10/10/2016,24,High School or Below,female
PAIDOFF,1000,30,9/11/2016,10/10/2016,27,college,female
PAIDOFF,800,15,9/11/2016,9/25/2016,46,High School or Below,female
PAIDOFF,800,15,9/11/2016,9/25/2016,34,college,female
PAIDOFF,800,15,9/11/2016,9/25/2016,38,High School or Below,male
PAIDOFF,800,15,9/11/2016,9/25/2016,27,High School or Below,male
PAIDOFF,1000,30,9/11/2016,10/10/2016,33,High School or Below,male
PAIDOFF,1000,30,9/11/2016,10/10/2016,36,college,male
PAIDOFF,1000,30,9/11/2016,10/10/2016,34,college,male
PAIDOFF,1000,30,9/11/2016,10/10/2016,22,High School or Below,male
PAIDOFF,1000,30,9/11/2016,10/10/2016,31,Bechalor,female
PAIDOFF,800,15,9/11/2016,9/25/2016,38,college,male
PAIDOFF,1000,30,9/11/2016,10/10/2016,30,college,male
PAIDOFF,1000,15,9/11/2016,9/25/2016,45,High School or Below,male
PAIDOFF,1000,15,9/11/2016,9/25/2016,35,college,male
PAIDOFF,1000,30,9/11/2016,10/10/2016,31,High School or Below,male
PAIDOFF,1000,30,9/11/2016,10/10/2016,31,High School or Below,male
PAIDOFF,1000,30,9/11/2016,10/10/2016,28,college,male
PAIDOFF,1000,7,9/11/2016,9/24/2016,29,college,male
PAIDOFF,800,15,9/11/2016,9/25/2016,29,college,male
PAIDOFF,1000,30,9/11/2016,11/9/2016,27,college,female
PAIDOFF,1000,30,9/11/2016,10/10/2016,27,college,male
PAIDOFF,1000,30,9/11/2016,10/10/2016,33,college,male
PAIDOFF,1000,30,9/11/2016,10/10/2016,28,college,male
PAIDOFF,1000,15,9/11/2016,9/25/2016,25,High School or Below,male
PAIDOFF,1000,30,9/11/2016,10/10/2016,40,college,male
PAIDOFF,1000,30,9/11/2016,10/10/2016,23,High School or Below,male
PAIDOFF,1000,30,9/11/2016,10/10/2016,35,Bechalor,male
PAIDOFF,800,15,9/11/2016,9/25/2016,24,college,male
PAIDOFF,1000,30,9/11/2016,10/10/2016,34,college,male
PAIDOFF,1000,30,9/11/2016,10/10/2016,22,High School or Below,male
PAIDOFF,1000,15,9/11/2016,10/25/2016,20,college,male
PAIDOFF,1000,15,9/11/2016,9/25/2016,23,college,male
PAIDOFF,1000,30,9/11/2016,10/10/2016,33,college,male
PAIDOFF,1000,30,9/11/2016,10/10/2016,26,college,male
PAIDOFF,1000,15,9/11/2016,9/25/2016,28,High School or Below,male
PAIDOFF,800,15,9/11/2016,9/25/2016,43,High School or Below,male
PAIDOFF,1000,15,9/11/2016,9/25/2016,34,Bechalor,male
PAIDOFF,1000,30,9/11/2016,10/10/2016,38,Bechalor,male
PAIDOFF,1000,15,9/11/2016,9/25/2016,26,High School or Below,male
PAIDOFF,800,15,9/11/2016,9/25/2016,43,High School or Below,male
PAIDOFF,1000,30,9/11/2016,10/10/2016,26,High School or Below,male
PAIDOFF,1000,30,9/11/2016,10/10/2016,33,college,female
PAIDOFF,800,15,9/11/2016,9/25/2016,24,college,male
PAIDOFF,1000,30,9/11/2016,10/10/2016,30,High School or Below,male
PAIDOFF,800,15,9/11/2016,9/25/2016,32,High School or Below,female
PAIDOFF,1000,15,9/11/2016,10/25/2016,22,college,male
PAIDOFF,1000,15,9/11/2016,9/25/2016,47,High School or Below,male
PAIDOFF,1000,30,9/11/2016,10/10/2016,20,High School or Below,male
PAIDOFF,1000,30,9/11/2016,10/10/2016,28,High School or Below,male
PAIDOFF,800,15,9/11/2016,9/25/2016,35,college,male
PAIDOFF,800,15,9/11/2016,9/25/2016,33,college,female
PAIDOFF,1000,30,9/11/2016,10/10/2016,30,High School or Below,male
PAIDOFF,1000,15,9/11/2016,9/25/2016,31,college,male
PAIDOFF,1000,30,9/11/2016,11/9/2016,26,college,female
PAIDOFF,1000,15,9/12/2016,9/26/2016,26,Bechalor,male
PAIDOFF,800,15,9/12/2016,9/26/2016,35,Bechalor,male
PAIDOFF,800,15,9/12/2016,9/26/2016,23,college,male
PAIDOFF,500,15,9/12/2016,9/26/2016,23,college,female
PAIDOFF,1000,15,9/12/2016,9/26/2016,30,college,male
PAIDOFF,1000,30,9/12/2016,10/11/2016,34,college,male
PAIDOFF,1000,30,9/12/2016,10/11/2016,36,High School or Below,female
PAIDOFF,800,15,9/12/2016,9/26/2016,29,High School or Below,male
PAIDOFF,1000,15,9/12/2016,9/26/2016,28,college,female
PAIDOFF,1000,30,9/12/2016,10/11/2016,27,High School or Below,male
PAIDOFF,1000,15,9/12/2016,9/26/2016,24,High School or Below,male
PAIDOFF,800,15,9/12/2016,9/26/2016,31,Bechalor,male
PAIDOFF,1000,30,9/12/2016,10/11/2016,28,High School or Below,male
PAIDOFF,1000,15,9/12/2016,9/26/2016,27,college,female
PAIDOFF,1000,15,9/12/2016,9/26/2016,25,High School or Below,male
PAIDOFF,1000,30,9/12/2016,11/10/2016,24,High School or Below,male
PAIDOFF,1000,30,9/12/2016,10/11/2016,28,college,male
PAIDOFF,1000,15,9/12/2016,9/26/2016,35,High School or Below,male
PAIDOFF,1000,15,9/12/2016,9/26/2016,38,High School or Below,male
PAIDOFF,1000,30,9/12/2016,10/11/2016,29,college,male
PAIDOFF,800,15,9/12/2016,9/26/2016,35,High School or Below,male
PAIDOFF,1000,30,9/12/2016,10/11/2016,24,college,male
PAIDOFF,800,15,9/12/2016,9/26/2016,39,High School or Below,male
PAIDOFF,800,15,9/12/2016,9/26/2016,25,college,male
PAIDOFF,1000,30,9/12/2016,10/11/2016,38,High School or Below,male
PAIDOFF,1000,30,9/12/2016,10/11/2016,30,college,male
PAIDOFF,1000,30,9/12/2016,10/11/2016,21,High School or Below,male
PAIDOFF,1000,15,9/12/2016,9/26/2016,31,High School or Below,female
PAIDOFF,300,7,9/12/2016,9/18/2016,29,High School or Below,male
PAIDOFF,1000,30,9/12/2016,10/11/2016,35,High School or Below,male
PAIDOFF,800,15,9/12/2016,9/26/2016,30,High School or Below,male
PAIDOFF,1000,30,9/12/2016,10/11/2016,27,High School or Below,male
PAIDOFF,1000,30,9/12/2016,10/11/2016,31,High School or Below,female
PAIDOFF,1000,15,9/12/2016,9/26/2016,34,High School or Below,male
PAIDOFF,800,15,9/12/2016,9/26/2016,28,college,male
PAIDOFF,800,15,9/12/2016,9/26/2016,42,college,male
PAIDOFF,1000,30,9/12/2016,10/11/2016,32,college,male
PAIDOFF,1000,30,9/12/2016,10/11/2016,30,High School or Below,male
PAIDOFF,1000,15,9/12/2016,9/26/2016,25,High School or Below,female
PAIDOFF,1000,30,9/12/2016,10/11/2016,27,High School or Below,female
PAIDOFF,800,15,9/12/2016,9/26/2016,21,college,male
PAIDOFF,1000,30,9/12/2016,10/11/2016,24,college,male
PAIDOFF,1000,15,9/12/2016,9/26/2016,40,college,male
PAIDOFF,1000,30,9/12/2016,10/11/2016,29,High School or Below,male
PAIDOFF,1000,15,9/12/2016,9/26/2016,30,college,male
PAIDOFF,1000,30,9/12/2016,10/11/2016,26,High School or Below,female
PAIDOFF,800,15,9/12/2016,9/26/2016,27,college,male
PAIDOFF,1000,30,9/12/2016,10/11/2016,20,college,male
PAIDOFF,1000,7,9/12/2016,9/18/2016,26,Bechalor,female
PAIDOFF,1000,30,9/12/2016,11/10/2016,26,college,male
PAIDOFF,1000,30,9/12/2016,10/11/2016,27,college,male
PAIDOFF,300,7,9/12/2016,9/18/2016,23,High School or Below,male
PAIDOFF,1000,30,9/12/2016,10/11/2016,39,High School or Below,male
PAIDOFF,1000,15,9/12/2016,9/26/2016,27,High School or Below,male
PAIDOFF,1000,30,9/12/2016,10/11/2016,30,High School or Below,male
PAIDOFF,1000,30,9/12/2016,10/11/2016,33,High School or Below,female
PAIDOFF,1000,30,9/12/2016,10/11/2016,27,High School or Below,male
PAIDOFF,1000,30,9/12/2016,10/11/2016,35,High School or Below,male
PAIDOFF,1000,30,9/12/2016,11/10/2016,29,college,female
PAIDOFF,1000,15,9/12/2016,9/26/2016,50,High School or Below,male
PAIDOFF,800,15,9/12/2016,9/26/2016,31,High School or Below,female
PAIDOFF,1000,15,9/12/2016,9/26/2016,31,High School or Below,male
PAIDOFF,1000,30,9/12/2016,10/11/2016,29,High School or Below,male
PAIDOFF,1000,15,9/12/2016,9/26/2016,35,college,male
PAIDOFF,1000,30,9/12/2016,10/11/2016,39,college,male
PAIDOFF,1000,15,9/12/2016,9/26/2016,30,High School or Below,male
PAIDOFF,1000,30,9/12/2016,10/11/2016,33,Bechalor,male
PAIDOFF,1000,30,9/12/2016,10/11/2016,26,High School or Below,male
PAIDOFF,1000,15,9/12/2016,9/26/2016,25,High School or Below,male
PAIDOFF,800,15,9/12/2016,9/26/2016,37,Bechalor,male
PAIDOFF,800,15,9/12/2016,9/26/2016,26,High School or Below,male
PAIDOFF,800,15,9/12/2016,9/26/2016,26,college,male
PAIDOFF,1000,15,9/12/2016,10/26/2016,27,college,male
PAIDOFF,1000,7,9/12/2016,9/25/2016,34,college,female
PAIDOFF,1000,30,9/12/2016,10/11/2016,37,college,male
PAIDOFF,1000,30,9/12/2016,10/11/2016,36,High School or Below,male
PAIDOFF,800,15,9/12/2016,9/26/2016,33,High School or Below,male
PAIDOFF,1000,30,9/12/2016,10/11/2016,30,High School or Below,male
PAIDOFF,800,15,9/12/2016,9/26/2016,36,High School or Below,male
PAIDOFF,1000,15,9/12/2016,10/11/2016,29,college,male
PAIDOFF,1000,30,9/12/2016,10/11/2016,32,High School or Below,male
PAIDOFF,1000,15,9/12/2016,9/26/2016,29,High School or Below,female
PAIDOFF,800,15,9/12/2016,9/26/2016,36,Bechalor,male
PAIDOFF,800,15,9/12/2016,9/26/2016,30,High School or Below,female
PAIDOFF,1000,7,9/13/2016,9/19/2016,31,college,male
PAIDOFF,1000,30,9/13/2016,10/12/2016,19,High School or Below,female
PAIDOFF,800,15,9/13/2016,9/27/2016,26,college,male
PAIDOFF,800,15,9/13/2016,9/27/2016,34,High School or Below,male
PAIDOFF,1000,30,9/13/2016,10/12/2016,35,High School or Below,male
PAIDOFF,1000,15,9/13/2016,9/27/2016,35,Bechalor,female
PAIDOFF,800,15,9/13/2016,9/27/2016,38,college,male
PAIDOFF,500,7,9/13/2016,9/19/2016,22,High School or Below,male
PAIDOFF,1000,30,9/13/2016,10/12/2016,32,college,male
PAIDOFF,1000,30,9/13/2016,10/12/2016,31,college,male
PAIDOFF,800,15,9/13/2016,9/27/2016,28,college,male
PAIDOFF,1000,15,9/13/2016,9/27/2016,37,college,female
PAIDOFF,1000,7,9/13/2016,9/19/2016,25,college,male
PAIDOFF,1000,30,9/13/2016,10/12/2016,19,High School or Below,male
PAIDOFF,800,15,9/13/2016,9/27/2016,51,college,male
PAIDOFF,1000,15,9/13/2016,9/27/2016,29,High School or Below,male
PAIDOFF,800,30,9/13/2016,10/12/2016,23,college,female
PAIDOFF,1000,15,9/13/2016,9/27/2016,30,High School or Below,male
PAIDOFF,1000,15,9/13/2016,9/27/2016,34,Bechalor,female
PAIDOFF,800,15,9/13/2016,9/27/2016,31,Bechalor,female
PAIDOFF,1000,15,9/14/2016,9/28/2016,24,High School or Below,male
PAIDOFF,1000,30,9/14/2016,10/13/2016,42,High School or Below,male
PAIDOFF,800,30,9/14/2016,10/13/2016,40,college,female
PAIDOFF,1000,30,9/14/2016,10/13/2016,29,High School or Below,male
PAIDOFF,1000,30,9/14/2016,10/13/2016,32,college,female
PAIDOFF,1000,30,9/14/2016,11/12/2016,28,college,male
PAIDOFF,1000,30,9/14/2016,10/13/2016,35,High School or Below,male
PAIDOFF,1000,30,9/14/2016,10/13/2016,30,Bechalor,male
PAIDOFF,800,15,9/14/2016,9/28/2016,44,college,male
PAIDOFF,800,15,9/14/2016,9/28/2016,37,High School or Below,male
PAIDOFF,1000,30,9/14/2016,10/13/2016,31,college,male
PAIDOFF,800,15,9/14/2016,9/28/2016,36,college,male
PAIDOFF,800,30,9/14/2016,10/13/2016,31,college,male
PAIDOFF,800,15,9/14/2016,9/28/2016,42,High School or Below,male
PAIDOFF,1000,15,9/14/2016,9/28/2016,28,Bechalor,male
PAIDOFF,1000,30,9/14/2016,10/13/2016,30,college,male
PAIDOFF,1000,30,9/14/2016,10/13/2016,30,High School or Below,male
PAIDOFF,1000,15,9/14/2016,9/28/2016,24,Bechalor,male
PAIDOFF,1000,30,9/14/2016,11/12/2016,34,Bechalor,male
PAIDOFF,1000,30,9/14/2016,10/13/2016,29,college,male
PAIDOFF,1000,30,9/14/2016,10/13/2016,34,Bechalor,male
PAIDOFF,800,15,9/14/2016,9/28/2016,28,High School or Below,male
PAIDOFF,1000,15,9/14/2016,9/28/2016,30,college,female
PAIDOFF,1000,30,9/14/2016,10/13/2016,41,High School or Below,male
PAIDOFF,1000,30,9/14/2016,10/13/2016,29,college,male
PAIDOFF,1000,30,9/14/2016,10/13/2016,37,High School or Below,male
PAIDOFF,1000,30,9/14/2016,10/13/2016,36,Bechalor,male
PAIDOFF,800,15,9/14/2016,9/28/2016,27,college,male
PAIDOFF,1000,30,9/14/2016,10/13/2016,29,High School or Below,male
PAIDOFF,1000,30,9/14/2016,10/13/2016,40,High School or Below,male
PAIDOFF,1000,30,9/14/2016,10/13/2016,28,college,male
COLLECTION,1000,15,9/9/2016,9/23/2016,29,college,male
COLLECTION,1000,30,9/9/2016,10/8/2016,37,High School or Below,male
COLLECTION,800,15,9/9/2016,9/23/2016,27,college,male
COLLECTION,800,15,9/9/2016,9/23/2016,24,Bechalor,male
COLLECTION,800,15,9/10/2016,10/9/2016,28,college,male
COLLECTION,1000,30,9/10/2016,10/9/2016,40,High School or Below,male
COLLECTION,1000,30,9/10/2016,10/9/2016,33,college,male
COLLECTION,1000,30,9/10/2016,10/9/2016,27,High School or Below,male
COLLECTION,1000,30,9/10/2016,10/9/2016,24,college,male
COLLECTION,1000,30,9/10/2016,10/9/2016,30,High School or Below,male
COLLECTION,1000,15,9/10/2016,9/24/2016,29,High School or Below,male
COLLECTION,1000,30,9/10/2016,10/9/2016,22,Bechalor,male
COLLECTION,1000,15,9/10/2016,9/24/2016,24,Bechalor,male
COLLECTION,1000,30,9/10/2016,10/9/2016,25,college,male
COLLECTION,1000,30,9/10/2016,10/9/2016,28,High School or Below,male
COLLECTION,1000,30,9/10/2016,10/9/2016,37,college,male
COLLECTION,800,15,9/10/2016,9/24/2016,32,college,male
COLLECTION,1000,15,9/10/2016,9/24/2016,34,college,male
COLLECTION,1000,30,9/11/2016,10/10/2016,28,Bechalor,male
COLLECTION,800,15,9/11/2016,9/25/2016,35,Bechalor,male
COLLECTION,1000,30,9/11/2016,11/9/2016,27,college,male
COLLECTION,1000,30,9/11/2016,10/10/2016,44,Bechalor,male
COLLECTION,1000,15,9/11/2016,10/25/2016,31,college,male
COLLECTION,1000,30,9/11/2016,10/10/2016,21,High School or Below,male
COLLECTION,1000,30,9/11/2016,10/10/2016,30,High School or Below,female
COLLECTION,1000,30,9/11/2016,10/10/2016,38,college,female
COLLECTION,1000,30,9/11/2016,10/10/2016,34,High School or Below,male
COLLECTION,1000,30,9/11/2016,10/10/2016,31,college,male
COLLECTION,1000,30,9/11/2016,10/10/2016,23,High School or Below,male
COLLECTION,1000,15,9/11/2016,9/25/2016,27,college,female
COLLECTION,1000,15,9/11/2016,9/25/2016,39,High School or Below,male
COLLECTION,1000,30,9/11/2016,10/10/2016,30,High School or Below,female
COLLECTION,1000,30,9/11/2016,10/10/2016,25,college,male
COLLECTION,1000,15,9/11/2016,9/25/2016,50,Master or Above,male
COLLECTION,1000,30,9/11/2016,10/10/2016,23,High School or Below,male
COLLECTION,800,15,9/11/2016,9/25/2016,38,Bechalor,male
COLLECTION,1000,30,9/11/2016,10/10/2016,27,High School or Below,male
COLLECTION,1000,30,9/11/2016,11/9/2016,31,High School or Below,male
COLLECTION,800,15,9/11/2016,9/25/2016,40,college,male
COLLECTION,1000,30,9/11/2016,10/10/2016,26,High School or Below,male
COLLECTION,1000,15,9/11/2016,9/25/2016,25,college,male
COLLECTION,1000,30,9/11/2016,10/10/2016,35,High School or Below,male
COLLECTION,1000,30,9/11/2016,10/10/2016,41,High School or Below,male
COLLECTION,1000,30,9/11/2016,10/10/2016,37,High School or Below,male
COLLECTION,1000,15,9/11/2016,10/10/2016,34,college,male
COLLECTION,1000,30,9/11/2016,10/10/2016,45,High School or Below,male
COLLECTION,1000,30,9/11/2016,10/10/2016,26,Bechalor,male
COLLECTION,1000,30,9/11/2016,10/10/2016,32,college,male
COLLECTION,1000,30,9/11/2016,10/10/2016,28,High School or Below,male
COLLECTION,1000,30,9/11/2016,10/10/2016,34,college,male
COLLECTION,800,15,9/11/2016,9/25/2016,29,High School or Below,male
COLLECTION,1000,30,9/11/2016,10/10/2016,26,High School or Below,male
COLLECTION,1000,15,9/11/2016,9/25/2016,26,college,male
COLLECTION,800,15,9/11/2016,9/25/2016,22,college,male
COLLECTION,1000,30,9/11/2016,10/10/2016,27,High School or Below,female
COLLECTION,800,30,9/11/2016,10/10/2016,33,High School or Below,male
COLLECTION,800,15,9/11/2016,9/25/2016,28,Bechalor,male
COLLECTION,1000,30,9/11/2016,10/10/2016,24,college,male
COLLECTION,1000,30,9/11/2016,10/10/2016,18,college,male
COLLECTION,800,15,9/11/2016,9/25/2016,25,High School or Below,male
COLLECTION,1000,15,9/11/2016,9/25/2016,40,High School or Below,male
COLLECTION,1000,30,9/11/2016,10/10/2016,29,college,male
COLLECTION,800,15,9/11/2016,9/25/2016,26,High School or Below,female
COLLECTION,1000,15,9/11/2016,9/25/2016,30,college,male
COLLECTION,1000,30,9/11/2016,10/10/2016,33,college,male
COLLECTION,1000,30,9/11/2016,10/10/2016,30,college,male
COLLECTION,1000,30,9/11/2016,10/10/2016,32,college,male
COLLECTION,1000,30,9/11/2016,10/10/2016,25,High School or Below,male
COLLECTION,800,15,9/11/2016,9/25/2016,35,High School or Below,male
COLLECTION,1000,15,9/11/2016,9/25/2016,30,Bechalor,male
COLLECTION,1000,30,9/11/2016,10/10/2016,26,High School or Below,male
COLLECTION,1000,30,9/11/2016,10/10/2016,29,High School or Below,male
COLLECTION,1000,30,9/11/2016,11/9/2016,26,High School or Below,male
COLLECTION,800,15,9/11/2016,9/25/2016,46,High School or Below,male
COLLECTION,1000,30,9/11/2016,10/10/2016,36,High School or Below,male
COLLECTION,1000,15,9/11/2016,9/25/2016,38,Bechalor,male
COLLECTION,1000,15,9/11/2016,10/25/2016,32,High School or Below,male
COLLECTION,1000,15,9/11/2016,9/25/2016,30,college,male
COLLECTION,800,15,9/11/2016,9/25/2016,35,High School or Below,male
COLLECTION,1000,30,9/11/2016,10/10/2016,29,college,female
COLLECTION,1000,30,9/11/2016,11/9/2016,26,college,male
COLLECTION,800,15,9/11/2016,9/25/2016,32,High School or Below,male
COLLECTION,1000,30,9/11/2016,10/10/2016,25,High School or Below,male
COLLECTION,800,15,9/12/2016,9/26/2016,39,college,male
COLLECTION,1000,30,9/12/2016,11/10/2016,28,college,male
COLLECTION,1000,30,9/12/2016,10/11/2016,26,college,male
